id,sname,sdescription,fee
59,User-friendly non-volatile software,'Response true care worry present. Year show on into hotel point. Represent tell fast pick that.',7712
60,Open-source clear-thinking leverage,'They guy great lot check. Amount form term including center identify.',9162
61,Stand-alone non-volatile challenge,'Behind student piece. Model feeling say provide. Him nice car election day very.',5119
62,Right-sized cohesive project,'Somebody political card resource necessary just.',4694
63,Devolved mission-critical throughput,'Your size discuss position region onto sort according. Political beautiful vote course.',8905
64,Public-key systematic model,'Record position up involve growth. Home day low everyone.',5928
65,Configurable logistical encryption,'Turn ahead third consumer. Music ready short.',88
66,Synergistic maximized function,'But occur TV. Leg focus expect interest. He world set today.',7546
67,Multi-lateral grid-enabled paradigm,'Shake source join amount. Meet step reach imagine foot would.',4145
68,Optional multi-tasking conglomeration,'Part up blood save during election itself. Candidate goal sound lose military sure.',6202
69,Balanced user-facing superstructure,'President idea many girl. Adult recently contain year decide.',4514
70,Up-sized zero tolerance product,'From outside thousand fall. Act themselves statement give.',8187
71,Decentralized zero tolerance ability,'Determine lose energy guess woman tonight get. Her dark figure become little more seek.',7079
72,Organic multi-state neural-net,'Site continue tax win.',5718
73,Exclusive 6thgeneration knowledge user,'Meet child beyond window its. Information produce party usually important personal career.',4250
74,Front-line intangible project,'Without economic others there. Law officer company western sell class decide.',3075
75,Synchronized actuating emulation,'Her option hospital herself throughout stand. Nation medical itself energy.',6015
76,Persevering content-based throughput,'Describe after matter Congress wonder sound. Without leader detail political car less.',9615
77,Secured tangible website,'Happy road the world. Democrat power wait their side east less. System blue according old senior.',6502
78,Intuitive user-facing frame,'Subject human never rather. Fire law president responsibility.',5537
79,Future-proofed regional challenge,'Between analysis list task century step.',2002
80,Phased dynamic moratorium,'Baby ball explain population coach training compare might. Culture crime change talk writer.',3415
81,De-engineered radical circuit,'Third military share attention well.',1391
82,Balanced intermediate leverage,'Very now Mr rather and article. Event majority actually ago brother federal condition authority.',3461
83,Expanded user-facing Local Area Network,'Source rich southern safe understand. Star four foot card. Put whom color. Who people respond.',5857
84,User-centric encompassing info-mediaries,'Day as cell team. Left some idea. Someone land home he education carry offer contain.',8448
85,Optional value-added infrastructure,'Out feeling everything significant such.',123
86,Multi-tiered client-server portal,'Owner year while look anything.',5645
87,Grass-roots full-range analyzer,'Talk message all decision low ten.',4835
88,Triple-buffered secondary utilization,'Chance some newspaper last. Their perhaps technology who decision. Along voice write leader.',656
89,Future-proofed homogeneous policy,'Paper man field resource. Tree same couple. Bill plan name also cold note.',2264
90,Multi-channeled encompassing architecture,'There other young discover practice. History camera you business.',3569
91,Centralized 6thgeneration open system,'Practice we record bag visit foreign. Enjoy anything early science no candidate discuss.',1949
92,Vision-oriented even-keeled access,'Pm support machine body. Age unit turn not yard. Simple drop true because air beautiful.',5655
93,Intuitive discrete contingency,'Power none major themselves. Mr price factor campaign. Speak realize head knowledge water image.',2556
94,Automated impactful help-desk,'Else whole word something tend. Speech send customer tree animal safe care.',9402
95,Open-source mobile encryption,'Serious sister rise away coach. Film conference television month nature new news.',3939
96,Vision-oriented disintermediate middleware,'Religious shoulder month wonder.',9187
97,Vision-oriented encompassing throughput,'Market of media under approach budget. Such old phone represent.',2566
98,Robust stable function,'Talk radio Democrat save quality stage bar I. Help then tree manage campaign industry.',2050
99,Horizontal value-added emulation,'Call list fly daughter fly. Organization learn prepare first appear reach enter.',1239
